Label,Average,Standard_Deviation
ResNet18_left_eyes,0.08066898704889942,0.04135073052148363
ResNet18_right_eyes,0.10275763656724901,0.05412286133752369
ResNet50_left_eyes,0.07717064505114275,0.04408897997865697
ResNet50_right_eyes,0.08843790232112594,0.04191263549230574
